"Material_id","Power_eig0","phi_assembly_g_0_eig0","phi_assembly_g_1_eig0","phi_assembly_g_2_eig0","phi_assembly_g_3_eig0","phi_assembly_g_4_eig0","phi_assembly_g_5_eig0","phi_assembly_g_6_eig0","phi_assembly_g_7_eig0","phi_g1_eig_1","phi_g2_eig_1","phi_g3_eig_1","phi_g4_eig_1","phi_g5_eig_1","phi_g6_eig_1","phi_g7_eig_1","phi_g8_eig_1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,12.096,20.032,18.831,5.4184,10.709,23.773,24.737,11.502,1,214.12,0,87.122,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,11.639,19.196,18.23,5.293,10.666,23.807,24.792,11.527,1,214.38,0,87.376,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,11.201,18.402,17.646,5.1659,10.614,23.808,24.81,11.535,1,214.63,0,87.63,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,10.787,17.656,17.082,5.0366,10.552,23.768,24.785,11.523,1,214.88,0,87.884,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,10.403,16.958,16.54,4.9089,10.483,23.702,24.731,11.496,1,215.14,0,88.138,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,10.031,16.285,16.009,4.782,10.407,23.617,24.655,11.46,1,215.39,0,88.392,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,9.6761,15.644,15.492,4.6559,10.323,23.506,24.553,11.411,1,215.65,0,88.646,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,9.3407,15.041,14.994,4.5313,10.23,23.368,24.42,11.348,1,215.9,0,88.9,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,9.0163,14.454,14.506,4.409,10.135,23.224,24.28,11.282,1,216.15,0,89.154,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,8.7094,13.904,14.037,4.2884,10.032,23.052,24.11,11.202,1,216.41,0,89.408,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,8.4237,13.393,13.589,4.1714,9.9206,22.855,23.913,11.109,1,216.66,0,89.662,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,8.1391,12.881,13.143,4.0552,9.8096,22.66,23.718,11.018,1,216.92,0,89.916,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.8718,12.404,12.717,3.9424,9.6927,22.446,23.501,10.916,1,217.17,0,90.17,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.6092,11.935,12.296,3.8305,9.5741,22.226,23.278,10.811,1,217.42,0,90.424,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.3643,11.5,11.898,3.7228,9.45,21.987,23.035,10.697,1,217.68,0,90.678,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.1215,11.068,11.502,3.6155,9.3252,21.746,22.789,10.582,1,217.93,0,90.932,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.9029,10.684,11.139,3.5153,9.1948,21.483,22.519,10.456,1,218.19,0,91.186,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.6859,10.302,10.779,3.4155,9.0638,21.219,22.248,10.33,1,218.44,0,91.44,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.4704,9.9238,10.42,3.316,8.9324,20.954,21.975,10.202,1,218.69,0,91.694,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.2568,9.5489,10.064,3.2169,8.8004,20.686,21.701,10.074,1,218.95,0,91.948,0
