"phi_g8_eig_1","Points:0","Points:1","Points:2"
7.6929,-33.782,0,0
6.6108,-33.528,0,0
5.7189,-33.274,0,0
5.0715,-33.02,0,0
4.5297,-32.766,0,0
4.0791,-32.512,0,0
3.7072,-32.258,0,0
3.4453,-32.004,0,0
3.1927,-31.75,0,0
2.9972,-31.496,0,0
2.8435,-31.242,0,0
2.7264,-30.988,0,0
2.6445,-30.734,0,0
2.5976,-30.48,0,0
2.5729,-30.226,0,0
2.5688,-29.972,0,0
2.606,-29.718,0,0
2.6618,-29.464,0,0
2.7521,-29.21,0,0
2.8649,-28.956,0,0
3.0209,-28.702,0,0
3.2243,-28.448,0,0
3.4644,-28.194,0,0
3.7636,-27.94,0,0
4.1084,-27.686,0,0
4.5502,-27.432,0,0
5.0991,-27.178,0,0
5.7562,-26.924,0,0
6.5381,-26.67,0,0
7.6401,-26.416,0,0
8.9806,-26.162,0,0
10.745,-25.908,0,0
12.692,-25.654,0,0
15.801,-25.4,0,0
20.496,-25.146,0,0
24.842,-24.892,0,0
28.008,-24.638,0,0
30.492,-24.384,0,0
32.298,-24.13,0,0
33.795,-23.876,0,0
34.914,-23.622,0,0
35.781,-23.368,0,0
36.377,-23.114,0,0
36.813,-22.86,0,0
37.034,-22.606,0,0
37.045,-22.352,0,0
36.845,-22.098,0,0
36.425,-21.844,0,0
35.896,-21.59,0,0
34.977,-21.336,0,0
33.88,-21.082,0,0
32.35,-20.828,0,0
30.498,-20.574,0,0
27.893,-20.32,0,0
24.612,-20.066,0,0
20.026,-19.812,0,0
15.318,-19.558,0,0
12.541,-19.304,0,0
10.391,-19.05,0,0
8.889,-18.796,0,0
7.5443,-18.542,0,0
6.6209,-18.288,0,0
5.7967,-18.034,0,0
5.155,-17.78,0,0
4.664,-17.526,0,0
4.2448,-17.272,0,0
3.8954,-17.018,0,0
3.6236,-16.764,0,0
3.3938,-16.51,0,0
3.2019,-16.256,0,0
3.0627,-16.002,0,0
2.9606,-15.748,0,0
2.8936,-15.494,0,0
2.8568,-15.24,0,0
2.8426,-14.986,0,0
2.8775,-14.732,0,0
2.9295,-14.478,0,0
3.0154,-14.224,0,0
3.1315,-13.97,0,0
3.2935,-13.716,0,0
3.4997,-13.462,0,0
3.761,-13.208,0,0
4.0625,-12.954,0,0
4.4339,-12.7,0,0
4.9052,-12.446,0,0
5.4615,-12.192,0,0
6.1813,-11.938,0,0
7.0099,-11.684,0,0
8.1491,-11.43,0,0
9.5257,-11.176,0,0
11.422,-10.922,0,0
13.521,-10.668,0,0
16.713,-10.414,0,0
21.738,-10.16,0,0
26.482,-9.906,0,0
29.903,-9.652,0,0
32.598,-9.398,0,0
34.543,-9.144,0,0
36.155,-8.89,0,0
37.342,-8.636,0,0
38.289,-8.382,0,0
38.899,-8.128,0,0
39.358,-7.874,0,0
39.586,-7.62,0,0
39.589,-7.366,0,0
39.367,-7.112,0,0
38.912,-6.858,0,0
38.325,-6.604,0,0
37.359,-6.35,0,0
36.179,-6.096,0,0
34.555,-5.842,0,0
32.594,-5.588,0,0
29.854,-5.334,0,0
26.39,-5.08,0,0
21.564,-4.826,0,0
16.541,-4.572,0,0
13.387,-4.318,0,0
11.03,-4.064,0,0
9.4703,-3.81,0,0
8.0989,-3.556,0,0
7.0138,-3.302,0,0
6.1953,-3.048,0,0
5.5046,-2.794,0,0
4.9298,-2.54,0,0
4.4953,-2.286,0,0
4.13,-2.032,0,0
3.7965,-1.778,0,0
3.5456,-1.524,0,0
3.3453,-1.27,0,0
3.191,-1.016,0,0
3.0821,-0.762,0,0
3.0054,-0.508,0,0
2.9561,-0.254,0,0
2.9308,0,0,0
2.9571,0.254,0,0
3.0052,0.508,0,0
3.0826,0.762,0,0
3.1996,1.016,0,0
3.3569,1.27,0,0
3.559,1.524,0,0
3.8096,1.778,0,0
4.1034,2.032,0,0
4.4975,2.286,0,0
4.9366,2.54,0,0
5.4743,2.794,0,0
6.1728,3.048,0,0
7.0355,3.302,0,0
8.0611,3.556,0,0
9.4935,3.81,0,0
11.112,4.064,0,0
13.416,4.318,0,0
16.533,4.572,0,0
21.555,4.826,0,0
26.379,5.08,0,0
29.841,5.334,0,0
32.579,5.588,0,0
34.539,5.842,0,0
36.162,6.096,0,0
37.341,6.35,0,0
38.306,6.604,0,0
38.892,6.858,0,0
39.347,7.112,0,0
39.567,7.366,0,0
39.563,7.62,0,0
39.335,7.874,0,0
38.875,8.128,0,0
38.265,8.382,0,0
37.319,8.636,0,0
36.132,8.89,0,0
34.521,9.144,0,0
32.578,9.398,0,0
29.885,9.652,0,0
26.468,9.906,0,0
21.73,10.16,0,0
16.708,10.414,0,0
13.516,10.668,0,0
11.417,10.922,0,0
9.5207,11.176,0,0
8.144,11.43,0,0
7.0047,11.684,0,0
6.1762,11.938,0,0
5.4564,12.192,0,0
4.9001,12.446,0,0
4.4289,12.7,0,0
4.0575,12.954,0,0
3.7561,13.208,0,0
3.4949,13.462,0,0
3.2886,13.716,0,0
3.1266,13.97,0,0
3.0105,14.224,0,0
2.9246,14.478,0,0
2.8726,14.732,0,0
2.8377,14.986,0,0
2.8518,15.24,0,0
2.8884,15.494,0,0
2.9553,15.748,0,0
3.0572,16.002,0,0
3.1962,16.256,0,0
3.388,16.51,0,0
3.6175,16.764,0,0
3.889,17.018,0,0
4.238,17.272,0,0
4.6568,17.526,0,0
5.1474,17.78,0,0
5.7885,18.034,0,0
6.6122,18.288,0,0
7.5349,18.542,0,0
8.8788,18.796,0,0
10.38,19.05,0,0
12.529,19.304,0,0
15.304,19.558,0,0
20.005,19.812,0,0
24.583,20.066,0,0
27.858,20.32,0,0
30.458,20.574,0,0
32.306,20.828,0,0
33.833,21.082,0,0
34.928,21.336,0,0
35.847,21.59,0,0
36.375,21.844,0,0
36.795,22.098,0,0
36.996,22.352,0,0
36.987,22.606,0,0
36.768,22.86,0,0
36.333,23.114,0,0
35.737,23.368,0,0
34.871,23.622,0,0
33.754,23.876,0,0
32.258,24.13,0,0
30.455,24.384,0,0
27.975,24.638,0,0
24.814,24.892,0,0
20.478,25.146,0,0
15.791,25.4,0,0
12.684,25.654,0,0
10.738,25.908,0,0
8.9742,26.162,0,0
7.6341,26.416,0,0
6.5326,26.67,0,0
5.751,26.924,0,0
5.0943,27.178,0,0
4.5457,27.432,0,0
4.1043,27.686,0,0
3.7597,27.94,0,0
3.4607,28.194,0,0
3.2208,28.448,0,0
3.0176,28.702,0,0
2.8617,28.956,0,0
2.749,29.21,0,0
2.6589,29.464,0,0
2.6031,29.718,0,0
2.5659,29.972,0,0
2.5701,30.226,0,0
2.5947,30.48,0,0
2.6416,30.734,0,0
2.7235,30.988,0,0
2.8405,31.242,0,0
2.9941,31.496,0,0
3.1895,31.75,0,0
3.4419,32.004,0,0
3.7036,32.258,0,0
4.0753,32.512,0,0
4.5257,32.766,0,0
5.0672,33.02,0,0
5.7143,33.274,0,0
6.6059,33.528,0,0
7.6876,33.782,0,0
8.9665,34.036,0,0
10.821,34.29,0,0
13.162,34.544,0,0
17.262,34.798,0,0
21.309,35.052,0,0
24.186,35.306,0,0
26.479,35.56,0,0
28.101,35.814,0,0
29.435,36.068,0,0
30.379,36.322,0,0
31.187,36.576,0,0
31.629,36.83,0,0
31.988,37.084,0,0
32.154,37.338,0,0
32.137,37.592,0,0
31.938,37.846,0,0
31.554,38.1,0,0
31.009,38.354,0,0
30.272,38.608,0,0
29.291,38.862,0,0
28,39.116,0,0
26.44,39.37,0,0
24.319,39.624,0,0
21.606,39.878,0,0
17.911,40.132,0,0
13.847,40.386,0,0
10.986,40.64,0,0
9.1262,40.894,0,0
7.7239,41.148,0,0
6.5293,41.402,0,0
5.681,41.656,0,0
4.9465,41.91,0,0
4.3583,42.164,0,0
3.9164,42.418,0,0
3.5416,42.672,0,0
3.2108,42.926,0,0
2.96,43.18,0,0
2.7365,43.434,0,0
2.5624,43.688,0,0
2.4217,43.942,0,0
2.3126,44.196,0,0
