"Material_id","Power_eig0","phi_assembly_g_0_eig0","phi_assembly_g_1_eig0","phi_assembly_g_2_eig0","phi_assembly_g_3_eig0","phi_assembly_g_4_eig0","phi_assembly_g_5_eig0","phi_assembly_g_6_eig0","phi_assembly_g_7_eig0","phi_g1_eig_1","phi_g2_eig_1","phi_g3_eig_1","phi_g4_eig_1","phi_g5_eig_1","phi_g6_eig_1","phi_g7_eig_1","phi_g8_eig_1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,27.608,47.926,39.729,9.6955,11.025,20.539,20.684,9.6226,1,210.31,83.312,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,27.563,47.633,39.145,9.5384,10.808,20.096,20.204,9.3881,1,210.57,83.566,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,27.674,47.541,38.54,9.3675,10.538,19.514,19.556,9.0629,1,210.82,83.82,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,27.903,47.602,37.895,9.1818,10.227,18.827,18.779,8.6624,1,211.07,84.074,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,28.26,47.83,37.215,8.9818,9.8735,18.027,17.862,8.182,1,211.33,84.328,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,28.737,48.234,36.442,8.7595,9.4792,17.118,16.771,7.5513,1,211.58,84.582,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,29.386,48.899,35.618,8.5196,9.029,16.052,15.446,6.7302,1,211.84,84.836,0,0
196,0,24.751,38.643,22.735,5.4425,5.6608,9.7236,8.7679,3.319,30.334,49.855,34.377,8.1601,8.3843,14.573,13.649,5.6202,1,212.09,85.09,0,0
196,0,24.751,38.643,22.735,5.4425,5.6608,9.7236,8.7679,3.319,31.903,51.129,32.112,7.5408,7.3728,12.43,11.27,4.3379,1,212.34,85.344,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,33.702,52.458,30.003,7.0122,6.4974,10.604,9.3171,3.3504,1,212.6,85.598,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,35.228,53.62,28.923,6.7811,6.0797,9.6976,8.3274,2.8245,1,212.85,85.852,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,36.646,54.695,27.886,6.5594,5.685,8.8474,7.4069,2.3464,1,213.11,86.106,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,37.713,55.485,26.97,6.3631,5.3562,8.1605,6.685,2.0029,1,213.36,86.36,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,38.613,56.14,26.104,6.1768,5.0549,7.542,6.0457,1.7137,1,213.61,86.614,0,0
69,2.3388,32.726,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.24,56.569,25.308,6.0043,4.7933,7.02,5.5193,1.491,1,213.87,86.868,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.611,56.781,24.577,5.8444,4.5673,6.5826,5.0895,1.3209,1,214.12,87.122,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.819,56.853,23.89,5.6934,4.365,6.1995,4.7192,1.1796,1,214.38,87.376,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.937,56.843,23.228,5.5475,4.176,5.8461,4.381,1.0536,1,214.63,87.63,0,0
