"phi_g1_eig_1","Points:0","Points:1","Points:2"
2.636,5.45,8.967,0
2.6293,5.46,8.967,0
2.6226,5.47,8.967,0
2.6159,5.48,8.967,0
2.6092,5.49,8.967,0
2.6025,5.5,8.967,0
2.5963,5.51,8.967,0
2.5902,5.52,8.967,0
2.584,5.53,8.967,0
2.5778,5.54,8.967,0
2.5716,5.55,8.967,0
2.5654,5.56,8.967,0
2.5592,5.57,8.967,0
2.5531,5.58,8.967,0
2.5469,5.59,8.967,0
2.5407,5.6,8.967,0
2.5345,5.61,8.967,0
2.5283,5.62,8.967,0
2.5224,5.63,8.967,0
2.5167,5.64,8.967,0
2.5111,5.65,8.967,0
2.5054,5.66,8.967,0
2.4997,5.67,8.967,0
2.494,5.68,8.967,0
2.4883,5.69,8.967,0
2.4827,5.7,8.967,0
2.477,5.71,8.967,0
2.4713,5.72,8.967,0
2.4656,5.73,8.967,0
2.46,5.74,8.967,0
2.4543,5.75,8.967,0
2.4491,5.76,8.967,0
2.4439,5.77,8.967,0
2.4387,5.78,8.967,0
2.4335,5.79,8.967,0
2.4283,5.8,8.967,0
2.4232,5.81,8.967,0
2.418,5.82,8.967,0
2.4128,5.83,8.967,0
2.4076,5.84,8.967,0
2.4024,5.85,8.967,0
2.3972,5.86,8.967,0
2.392,5.87,8.967,0
2.3871,5.88,8.967,0
2.3823,5.89,8.967,0
2.3776,5.9,8.967,0
2.3729,5.91,8.967,0
2.3682,5.92,8.967,0
2.3635,5.93,8.967,0
2.3588,5.94,8.967,0
2.354,5.95,8.967,0
2.3493,5.96,8.967,0
2.3446,5.97,8.967,0
2.3399,5.98,8.967,0
2.3352,5.99,8.967,0
2.3305,6,8.967,0
2.3262,6.01,8.967,0
2.3219,6.02,8.967,0
2.3177,6.03,8.967,0
2.3134,6.04,8.967,0
2.3092,6.05,8.967,0
2.3049,6.06,8.967,0
2.3006,6.07,8.967,0
2.2964,6.08,8.967,0
2.2921,6.09,8.967,0
2.2879,6.1,8.967,0
2.2836,6.11,8.967,0
2.2793,6.12,8.967,0
2.2753,6.13,8.967,0
2.2715,6.14,8.967,0
2.2677,6.15,8.967,0
2.2639,6.16,8.967,0
2.26,6.17,8.967,0
2.2562,6.18,8.967,0
2.2524,6.19,8.967,0
2.2486,6.2,8.967,0
2.2448,6.21,8.967,0
2.241,6.22,8.967,0
2.2371,6.23,8.967,0
2.2333,6.24,8.967,0
2.2295,6.25,8.967,0
2.2261,6.26,8.967,0
2.2227,6.27,8.967,0
2.2194,6.28,8.967,0
2.216,6.29,8.967,0
2.2126,6.3,8.967,0
2.2092,6.31,8.967,0
2.2058,6.32,8.967,0
2.2024,6.33,8.967,0
2.199,6.34,8.967,0
2.1957,6.35,8.967,0
2.1923,6.36,8.967,0
2.1889,6.37,8.967,0
2.1857,6.38,8.967,0
2.1828,6.39,8.967,0
2.1798,6.4,8.967,0
2.1768,6.41,8.967,0
2.1739,6.42,8.967,0
2.1709,6.43,8.967,0
2.1679,6.44,8.967,0
2.165,6.45,8.967,0
2.162,6.46,8.967,0
2.159,6.47,8.967,0
2.1561,6.48,8.967,0
2.1531,6.49,8.967,0
2.1501,6.5,8.967,0
2.1476,6.51,8.967,0
2.145,6.52,8.967,0
2.1424,6.53,8.967,0
2.1399,6.54,8.967,0
2.1373,6.55,8.967,0
2.1348,6.56,8.967,0
2.1322,6.57,8.967,0
2.1296,6.58,8.967,0
2.1271,6.59,8.967,0
2.1245,6.6,8.967,0
2.1219,6.61,8.967,0
2.1194,6.62,8.967,0
2.117,6.63,8.967,0
2.1148,6.64,8.967,0
2.1126,6.65,8.967,0
2.1104,6.66,8.967,0
2.1082,6.67,8.967,0
2.106,6.68,8.967,0
2.1038,6.69,8.967,0
2.1016,6.7,8.967,0
2.0994,6.71,8.967,0
2.0972,6.72,8.967,0
2.095,6.73,8.967,0
2.0928,6.74,8.967,0
2.0906,6.75,8.967,0
2.0887,6.76,8.967,0
2.0868,6.77,8.967,0
2.0848,6.78,8.967,0
2.0829,6.79,8.967,0
2.081,6.8,8.967,0
2.079,6.81,8.967,0
2.0771,6.82,8.967,0
2.0751,6.83,8.967,0
2.0732,6.84,8.967,0
2.0713,6.85,8.967,0
2.0693,6.86,8.967,0
2.0674,6.87,8.967,0
2.0654,6.88,8.967,0
2.0632,6.89,8.967,0
2.061,6.9,8.967,0
2.0588,6.91,8.967,0
2.0566,6.92,8.967,0
2.0544,6.93,8.967,0
2.0522,6.94,8.967,0
2.05,6.95,8.967,0
2.0479,6.96,8.967,0
2.0457,6.97,8.967,0
2.0435,6.98,8.967,0
2.0413,6.99,8.967,0
2.0391,7,8.967,0
2.0361,7.01,8.967,0
2.0331,7.02,8.967,0
2.0301,7.03,8.967,0
2.0271,7.04,8.967,0
2.0241,7.05,8.967,0
2.0211,7.06,8.967,0
2.0181,7.07,8.967,0
2.0152,7.08,8.967,0
2.0122,7.09,8.967,0
2.0092,7.1,8.967,0
2.0062,7.11,8.967,0
2.0032,7.12,8.967,0
2,7.13,8.967,0
1.9966,7.14,8.967,0
1.9931,7.15,8.967,0
1.9897,7.16,8.967,0
1.9863,7.17,8.967,0
1.9829,7.18,8.967,0
1.9795,7.19,8.967,0
1.976,7.2,8.967,0
1.9726,7.21,8.967,0
1.9692,7.22,8.967,0
1.9658,7.23,8.967,0
1.9624,7.24,8.967,0
1.9589,7.25,8.967,0
1.9546,7.26,8.967,0
1.9502,7.27,8.967,0
1.9459,7.28,8.967,0
1.9415,7.29,8.967,0
1.9371,7.3,8.967,0
1.9328,7.31,8.967,0
1.9284,7.32,8.967,0
1.924,7.33,8.967,0
1.9197,7.34,8.967,0
1.9153,7.35,8.967,0
1.911,7.36,8.967,0
1.9066,7.37,8.967,0
1.9017,7.38,8.967,0
1.8964,7.39,8.967,0
1.891,7.4,8.967,0
1.8857,7.41,8.967,0
1.8803,7.42,8.967,0
1.875,7.43,8.967,0
1.8696,7.44,8.967,0
1.8643,7.45,8.967,0
1.8589,7.46,8.967,0
1.8536,7.47,8.967,0
1.8482,7.48,8.967,0
1.8429,7.49,8.967,0
1.8375,7.5,8.967,0
1.8312,7.51,8.967,0
1.8249,7.52,8.967,0
1.8186,7.53,8.967,0
1.8123,7.54,8.967,0
1.806,7.55,8.967,0
1.7997,7.56,8.967,0
1.7934,7.57,8.967,0
1.7871,7.58,8.967,0
1.7808,7.59,8.967,0
1.7745,7.6,8.967,0
1.7681,7.61,8.967,0
1.7618,7.62,8.967,0
1.7551,7.63,8.967,0
1.7479,7.64,8.967,0
1.7407,7.65,8.967,0
1.7335,7.66,8.967,0
1.7263,7.67,8.967,0
1.719,7.68,8.967,0
1.7118,7.69,8.967,0
1.7046,7.7,8.967,0
1.6974,7.71,8.967,0
1.6902,7.72,8.967,0
1.683,7.73,8.967,0
1.6758,7.74,8.967,0
1.6686,7.75,8.967,0
1.6606,7.76,8.967,0
1.6526,7.77,8.967,0
1.6446,7.78,8.967,0
1.6366,7.79,8.967,0
1.6286,7.8,8.967,0
1.6206,7.81,8.967,0
1.6126,7.82,8.967,0
1.6046,7.83,8.967,0
1.5966,7.84,8.967,0
1.5886,7.85,8.967,0
1.5806,7.86,8.967,0
1.5726,7.87,8.967,0
1.5644,7.88,8.967,0
1.556,7.89,8.967,0
1.5476,7.9,8.967,0
1.5391,7.91,8.967,0
1.5307,7.92,8.967,0
1.5223,7.93,8.967,0
1.5139,7.94,8.967,0
1.5055,7.95,8.967,0
1.4971,7.96,8.967,0
1.4886,7.97,8.967,0
1.4802,7.98,8.967,0
1.4718,7.99,8.967,0
1.4634,8,8.967,0
1.4567,8.01,8.967,0
1.4499,8.02,8.967,0
1.4432,8.03,8.967,0
1.4365,8.04,8.967,0
1.4297,8.05,8.967,0
1.423,8.06,8.967,0
1.4163,8.07,8.967,0
1.4095,8.08,8.967,0
1.4028,8.09,8.967,0
1.3961,8.1,8.967,0
1.3893,8.11,8.967,0
1.3826,8.12,8.967,0
1.3758,8.13,8.967,0
1.3689,8.14,8.967,0
1.362,8.15,8.967,0
1.3551,8.16,8.967,0
1.3482,8.17,8.967,0
1.3413,8.18,8.967,0
1.3344,8.19,8.967,0
1.3275,8.2,8.967,0
1.3206,8.21,8.967,0
1.3137,8.22,8.967,0
1.3068,8.23,8.967,0
1.2999,8.24,8.967,0
1.293,8.25,8.967,0
1.2863,8.26,8.967,0
1.2796,8.27,8.967,0
1.2729,8.28,8.967,0
1.2661,8.29,8.967,0
1.2594,8.3,8.967,0
1.2527,8.31,8.967,0
1.246,8.32,8.967,0
1.2393,8.33,8.967,0
1.2326,8.34,8.967,0
1.2258,8.35,8.967,0
1.2191,8.36,8.967,0
1.2124,8.37,8.967,0
1.2058,8.38,8.967,0
1.1993,8.39,8.967,0
1.1928,8.4,8.967,0
1.1863,8.41,8.967,0
1.1798,8.42,8.967,0
1.1734,8.43,8.967,0
1.1669,8.44,8.967,0
1.1604,8.45,8.967,0
1.1539,8.46,8.967,0
1.1474,8.47,8.967,0
1.1409,8.48,8.967,0
1.1344,8.49,8.967,0
1.1279,8.5,8.967,0
1.1217,8.51,8.967,0
1.1154,8.52,8.967,0
1.1091,8.53,8.967,0
1.1029,8.54,8.967,0
1.0966,8.55,8.967,0
1.0903,8.56,8.967,0
1.0841,8.57,8.967,0
1.0778,8.58,8.967,0
1.0715,8.59,8.967,0
1.0653,8.6,8.967,0
1.059,8.61,8.967,0
1.0527,8.62,8.967,0
1.0466,8.63,8.967,0
1.0405,8.64,8.967,0
1.0345,8.65,8.967,0
1.0284,8.66,8.967,0
1.0223,8.67,8.967,0
1.0163,8.68,8.967,0
1.0102,8.69,8.967,0
1.0042,8.7,8.967,0
0.99809,8.71,8.967,0
0.99203,8.72,8.967,0
0.98597,8.73,8.967,0
0.97991,8.74,8.967,0
0.97385,8.75,8.967,0
